model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|8180|7697|5.9046454767726155
PointID|Table|Field|Error
PP-040|WellData||measuring_point_height: Input should be a valid number
AR-0204|WellData||measuring_point_height: Input should be a valid number
NM-28455|WellData||measuring_point_height: Input should be a valid number
EB-315|WellData||measuring_point_height: Input should be greater than or equal to 0
DA-0205|WellData||measuring_point_height: Input should be a valid number
EB-290|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-074|WellData||measuring_point_height: Input should be a valid number
TO-0532|WellData||measuring_point_height: Input should be a valid number
AR-0178|WellData||measuring_point_height: Input should be a valid number
DA-0200|WellData||measuring_point_height: Input should be a valid number
AH-063|WellData||measuring_point_height: Input should be a valid number
AH-069|WellData||measuring_point_height: Input should be a valid number
EB-368|WellData||measuring_point_height: Input should be greater than or equal to 0
TB-0257|WellData||measuring_point_height: Input should be a valid number
DA-0197|WellData||measuring_point_height: Input should be a valid number
EB-453|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-082|WellData||measuring_point_height: Input should be a valid number
NM-23353|WellData||Value error, well casing depth must be less than or equal to hole depth
WL-0133|WellData||measuring_point_height: Input should be a valid number
TC-250|WellData||measuring_point_height: Input should be a valid number
TV-197|WellData||measuring_point_height: Input should be greater than or equal to 0
WL-0207|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0188|WellData||measuring_point_height: Input should be a valid number
NM-26757|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-259|WellData||measuring_point_height: Input should be greater than or equal to 0
TC-357|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-011|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-418|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-204|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-015|WellData||measuring_point_height: Input should be a valid number
AR-0181|WellData||measuring_point_height: Input should be greater than or equal to 0
BC-0414|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-062|WellData||measuring_point_height: Input should be a valid number
WL-0351|WellData||measuring_point_height: Input should be a valid number
AR-0199|WellData||measuring_point_height: Input should be a valid number
WL-0070|WellData||measuring_point_height: Input should be a valid number
WL-0269|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0184|WellData||measuring_point_height: Input should be a valid number
AH-097|WellData||measuring_point_height: Input should be a valid number
PP-004|WellData||measuring_point_height: Input should be a valid number
PP-070|WellData||measuring_point_height: Input should be a valid number
CP-0008|WellData||measuring_point_height: Input should be a valid number
PP-067|WellData||measuring_point_height: Input should be a valid number
AH-096|WellData||measuring_point_height: Input should be a valid number
EB-093|WellData||measuring_point_height: Input should be greater than or equal to 0
DA-0047|WellData|PointID|duplicate records
AH-088|WellData||measuring_point_height: Input should be a valid number
EB-273|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-584|WellData||measuring_point_height: Input should be greater than or equal to 0
AS-066|WellData||Value error, well casing depth must be less than or equal to hole depth
EB-601|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0518|WellData||measuring_point_height: Input should be a valid number
NM-26551|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-593|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-423|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0152|WellData||measuring_point_height: Input should be a valid number
EB-422|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-594|WellData||Value error, well depth must be less than than or equal to hole depth
AH-058|WellData||measuring_point_height: Input should be a valid number
EB-229|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-052|WellData||measuring_point_height: Input should be a valid number
NM-28448|WellData||measuring_point_height: Input should be a valid number
AH-078|WellData||measuring_point_height: Input should be a valid number
PP-013|WellData||measuring_point_height: Input should be a valid number
AR-0195|WellData||measuring_point_height: Input should be a valid number
EB-230|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-159|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-063|WellData||measuring_point_height: Input should be a valid number
AR-0136|WellData||measuring_point_height: Input should be a valid number
TO-0550|WellData||measuring_point_height: Input should be a valid number
